Company_Name,Industry,Company_Age_Years,Annual_Revenue,Revenue_Growth_Pct,Profit_Margin_Pct,Debt_to_Equity,Current_Ratio,ROE_Pct,Market_Share_Pct,Customer_Growth_Pct,Customer_Retention_Pct,Management_Experience_Years,Business_Risk,Market_Risk,Expected_ROI_Pct,Investment_Amount,Industry_Growth_Pct,Investment_Decision
Company_00001,Retail,24,28985366.0,11.96,12.14,0.46,1.44,17.97,6.7,8.68,63.54,17.2,Low,High,21.82,6315297.0,5.74,Yes
Company_00002,Real Estate,5,56481436.0,12.6,12.6,0.66,1.76,17.32,12.65,20.7,81.57,3.4,Low,Medium,9.13,10430140.0,8.31,Yes
Company_00003,FMCG,19,12789507.0,1.09,15.26,0.83,1.19,17.67,10.43,-2.93,84.27,14.1,Low,Medium,14.26,962881.0,9.95,Yes
Company_00004,Energy,6,24852957.0,10.92,7.71,1.32,2.11,4.96,9.23,10.83,86.92,11.5,Medium,Low,17.14,2020293.0,10.76,Yes
Company_00005,Healthcare,17,81096738.0,23.2,7.28,0.63,1.66,19.03,6.62,33.52,82.47,8.1,Medium,Low,13.59,15001589.0,17.69,Yes
Company_00006,Healthcare,15,15041632.0,19.33,16.92,1.31,1.07,33.14,3.64,22.07,73.26,10.2,Medium,Low,19.98,2789795.0,21.84,Yes
Company_00007,Technology,28,226605376.0,17.21,12.82,0.49,2.52,19.21,7.49,13.02,94.02,14.8,Low,Low,17.66,53259759.0,16.75,Yes
Company_00008,Telecommunications,28,139180238.0,10.75,3.82,0.9,1.72,16.0,10.86,21.84,77.87,21.1,High,High,14.47,16480305.0,5.01,No
Company_00009,Energy,20,32840910.0,12.87,13.36,0.57,1.36,19.74,10.87,21.68,64.31,16.5,Low,Medium,16.61,5039040.0,9.36,Yes
Company_00010,FMCG,15,25607743.0,17.53,,1.75,2.26,17.73,5.05,28.16,79.96,16.2,High,Medium,17.89,7545997.0,7.2,Yes
Company_00011,Technology,10,59363047.0,24.46,8.91,1.59,,15.05,4.0,16.21,66.51,13.4,High,Low,17.94,16656448.0,18.78,No
Company_00012,Real Estate,7,14609618.0,0.42,2.64,0.88,0.7,4.0,8.37,4.21,58.14,7.5,High,High,6.49,2992086.0,4.11,No
Company_00013,Automobile,18,9117555.0,15.76,10.62,0.56,2.38,18.07,1.03,13.54,76.91,13.7,Low,Low,12.56,2171295.0,16.11,Yes
Company_00014,Healthcare,20,33838126.0,18.71,14.52,0.33,1.89,29.12,14.12,17.08,72.6,13.9,Low,Low,15.39,9232247.0,15.57,Yes
Company_00015,Healthcare,13,44615510.0,20.32,11.1,0.92,2.26,12.72,11.11,26.17,76.72,16.2,Medium,Medium,16.98,8548269.0,7.95,Yes
Company_00016,Healthcare,5,54178608.0,10.56,14.99,0.84,1.7,22.57,4.17,2.06,78.94,9.9,Low,Low,18.32,15899325.0,10.87,Yes
Company_00017,Financial Services,17,29650930.0,4.32,9.25,1.2,1.9,18.81,,7.27,68.91,16.6,Medium,Low,6.02,3459645.0,13.45,No
Company_00018,Manufacturing,26,147654890.0,19.61,16.37,0.33,1.63,29.95,19.28,30.81,85.96,19.9,Low,Low,22.67,13676945.0,13.53,Yes
Company_00019,Retail,12,14029388.0,2.89,4.03,0.81,2.29,13.55,2.55,5.76,70.27,9.9,High,High,-1.43,2547675.0,5.18,No
Company_00020,Financial Services,23,19001163.0,7.14,2.43,0.95,,-0.89,4.22,15.7,75.15,13.6,High,Low,6.29,2973519.0,13.14,No
Company_00021,Energy,5,75615672.0,5.29,6.46,0.46,2.35,3.74,15.62,8.01,81.8,9.7,Medium,High,12.89,12792342.0,2.16,No
Company_00022,Technology,18,18627197.0,25.54,5.89,0.8,1.84,14.36,2.49,22.43,95.66,18.5,Medium,Low,26.35,1380681.0,15.73,Yes
Company_00023,Financial Services,9,18024837.0,13.32,11.98,0.5,2.2,14.47,5.55,26.9,75.91,11.0,Low,Low,18.28,5273386.0,14.34,Yes
Company_00024,Retail,15,55527288.0,13.82,-0.04,0.48,1.23,-2.95,4.28,14.67,76.01,9.2,High,Medium,9.89,10523213.0,7.35,No
Company_00025,Manufacturing,28,20420285.0,13.25,7.65,0.56,2.01,18.93,19.08,7.7,86.58,20.3,Medium,High,20.44,5364394.0,5.48,Yes
Company_00026,Automobile,3,44652096.0,17.98,9.53,0.65,2.06,11.74,3.51,11.66,80.87,5.8,Medium,Medium,18.41,9858592.0,9.44,Yes
Company_00027,Healthcare,12,27581491.0,9.06,3.76,1.48,2.68,17.11,2.07,9.95,79.67,6.1,High,Low,9.84,2621674.0,11.19,No
Company_00028,Manufacturing,12,24037350.0,7.04,7.02,0.63,2.15,8.43,5.85,14.29,81.35,16.2,Medium,Low,10.29,3693010.0,11.89,Yes
Company_00029,Energy,25,8373429.0,1.45,7.34,0.47,1.46,6.96,3.51,3.39,72.75,14.8,Medium,High,11.11,502926.0,5.34,No
Company_00030,Technology,23,56297588.0,22.22,18.23,1.17,1.35,23.58,7.37,15.24,83.43,20.2,Medium,Low,22.81,9819726.0,13.68,Yes
Company_00031,Energy,25,17320859.0,9.61,3.91,1.32,2.1,12.05,6.63,12.11,96.64,21.4,High,High,5.29,1622318.0,1.94,No
Company_00032,Healthcare,7,43337449.0,9.81,10.94,1.18,1.4,17.34,2.34,18.36,78.66,10.4,Medium,Low,11.42,2280967.0,13.51,No
Company_00033,Technology,22,32353876.0,33.45,17.14,1.59,1.36,34.06,16.53,34.68,,13.3,High,Low,24.11,7475816.0,15.52,Yes
Company_00034,Real Estate,22,41950534.0,-0.1,6.87,0.83,1.27,11.93,3.36,10.64,65.76,19.4,Medium,High,4.92,11297484.0,4.43,No
Company_00035,Real Estate,15,44026818.0,18.58,8.6,0.82,1.82,11.83,3.6,15.56,79.29,10.3,Medium,Medium,23.17,9142926.0,8.58,Yes
Company_00036,Automobile,11,58945130.0,25.72,6.96,0.51,1.9,20.06,7.28,33.1,82.56,10.8,Medium,Low,22.99,5447844.0,12.08,Yes
Company_00037,Financial Services,27,26935028.0,14.12,19.6,1.62,1.47,29.11,14.45,19.03,69.35,17.4,High,Low,11.54,3749554.0,10.35,Yes
Company_00038,Technology,28,143784408.0,14.42,10.53,0.71,2.69,12.63,2.17,19.59,78.18,17.4,Low,Low,22.52,12663581.0,16.8,Yes
Company_00039,FMCG,9,10399242.0,6.58,6.87,0.63,2.08,12.33,3.7,11.26,73.39,10.8,Medium,Medium,14.96,1287438.0,8.82,Yes
Company_00040,Retail,8,41240491.0,6.55,,0.6,2.73,26.22,9.31,6.58,73.3,4.6,Low,High,10.4,7052082.0,5.39,No
Company_00041,Technology,9,101780582.0,32.74,15.31,1.06,1.78,19.38,3.45,36.54,84.29,8.0,Medium,Low,19.86,14095682.0,22.17,Yes
Company_00042,Manufacturing,29,74984369.0,3.19,20.42,0.79,1.34,27.58,5.54,2.63,91.52,16.3,Low,Medium,11.96,18076336.0,8.59,Yes
Company_00043,Technology,9,21832786.0,8.1,1.7,0.83,1.19,-2.77,3.82,11.74,84.37,11.7,High,Low,3.13,3409597.0,17.97,No
Company_00044,Telecommunications,24,25153935.0,14.84,9.08,0.63,1.7,11.31,6.9,18.59,87.33,18.9,Medium,Medium,21.12,2003451.0,9.31,Yes
Company_00045,Financial Services,3,21247714.0,17.65,4.03,0.67,2.17,10.23,2.22,18.25,83.5,6.8,High,Low,12.7,4124369.0,10.58,Yes
Company_00046,FMCG,28,83209913.0,26.6,12.24,0.69,1.59,13.91,6.14,27.74,75.49,20.5,Low,Medium,24.83,13973622.0,9.82,Yes
Company_00047,Financial Services,17,26657961.0,5.06,7.48,1.64,2.11,6.25,,-1.51,77.51,13.4,High,Low,9.21,2977981.0,11.74,No
Company_00048,Manufacturing,10,62108175.0,7.8,6.43,0.28,2.58,10.15,7.78,10.12,79.61,9.6,Medium,High,9.44,12454933.0,5.75,No
Company_00049,Manufacturing,14,62594612.0,20.14,11.7,0.96,1.28,13.62,3.56,25.68,79.69,13.3,Medium,Medium,19.81,7504807.0,9.0,Yes
Company_00050,Healthcare,24,374337371.0,15.01,,1.36,1.07,4.56,12.81,18.46,78.37,17.4,Medium,Low,15.42,78718067.0,11.16,Yes
Company_00051,Real Estate,13,65253950.0,8.25,8.26,0.27,2.33,4.72,,11.1,83.78,8.7,Medium,Medium,11.1,7191728.0,6.61,No
Company_00052,Automobile,28,25092038.0,13.62,6.22,0.72,1.9,12.6,3.25,7.0,88.19,21.4,Medium,High,13.28,1340612.0,5.09,Yes
Company_00053,Real Estate,23,14452903.0,10.18,16.45,1.29,,22.47,24.48,14.48,90.83,12.1,Medium,Low,18.62,3681604.0,11.38,Yes
Company_00054,Telecommunications,26,39549308.0,20.77,6.02,0.5,2.16,11.81,5.09,15.39,81.14,13.8,Medium,Low,13.22,7541509.0,11.81,No
